../results/qa194_swap-1-01.csv,../results/qa194_swap-1-02.csv,avg
4466.711352000011,4533.889120000012,4500.300236000012
4466.711352000011,4533.889120000012,4500.300236000012
4466.711352000011,4533.889120000012,4500.300236000012
4466.711352000011,4533.889120000012,4500.300236000012
4466.711352000011,4533.889120000012,4500.300236000012
4466.711352000011,4533.889120000012,4500.300236000012
4466.711352000011,4533.889120000012,4500.300236000012
4466.711352000011,4533.889120000012,4500.300236000012
4466.711352000011,4533.889120000012,4500.300236000012
4466.711352000011,4533.889120000012,4500.300236000012
4464.3780080000115,4533.889120000012,4499.133564000012
4464.3780080000115,4533.889120000012,4499.133564000012
4464.3780080000115,4533.889120000012,4499.133564000012
4464.3780080000115,4533.889120000012,4499.133564000012
4461.266896000012,4533.889120000012,4497.578008000011
4461.266896000012,4533.889120000012,4497.578008000011
4461.266896000012,4521.333544000013,4491.300220000012
4461.266896000012,4516.133544000013,4488.700220000012
4461.266896000012,4516.133544000013,4488.700220000012
4461.266896000012,4507.489096000013,4484.377996000012
4461.266896000012,4507.489096000013,4484.377996000012
4461.266896000012,4507.489096000013,4484.377996000012
4461.266896000012,4507.489096000013,4484.377996000012
4461.266896000012,4507.489096000013,4484.377996000012
4461.266896000012,4507.489096000013,4484.377996000012
4461.266896000012,4507.489096000013,4484.377996000012
4455.066880000011,4507.489096000013,4481.277988000013
4455.066880000011,4506.889096000013,4480.9779880000115
4455.066880000011,4506.889096000013,4480.9779880000115
4455.066880000011,4506.889096000013,4480.9779880000115
4455.066880000011,4506.889096000013,4480.9779880000115
4455.066880000011,4506.711320000012,4480.889100000011
4455.066880000011,4506.711320000012,4480.889100000011
4455.066880000011,4506.711320000012,4480.889100000011
4455.066880000011,4494.955776000012,4475.011328000011
4455.066880000011,4494.955776000012,4475.011328000011
4455.066880000011,4494.955776000012,4475.011328000011
4455.066880000011,4494.955776000012,4475.011328000011
4455.066880000011,4494.955776000012,4475.011328000011
4455.066880000011,4494.955776000012,4475.011328000011
4455.066880000011,4494.955776000012,4475.011328000011
4455.066880000011,4494.955776000012,4475.011328000011
4455.066880000011,4494.955776000012,4475.011328000011
4455.066880000011,4494.955776000012,4475.011328000011
4455.066880000011,4494.955776000012,4475.011328000011
4429.333560000011,4493.422456000012,4461.3780080000115
4429.333560000011,4493.422456000012,4461.3780080000115
4429.333560000011,4492.400232000012,4460.866896000011
4429.333560000011,4492.400232000012,4460.866896000011
4429.333560000011,4492.400232000012,4460.866896000011
4429.333560000011,4492.400232000012,4460.866896000011
4429.333560000011,4492.400232000012,4460.866896000011
4429.333560000011,4487.089128000012,4458.211344000012
4429.333560000011,4487.089128000012,4458.211344000012
4429.333560000011,4484.333592000013,4456.833576000012
4429.333560000011,4484.333592000013,4456.833576000012
4429.333560000011,4484.333592000013,4456.833576000012
4429.333560000011,4484.333592000013,4456.833576000012
4429.333560000011,4484.333592000013,4456.833576000012
4429.333560000011,4484.333592000013,4456.833576000012
4429.333560000011,4484.333592000013,4456.833576000012
4429.333560000011,4484.333592000013,4456.833576000012
4429.333560000011,4484.333592000013,4456.833576000012
4429.333560000011,4484.333592000013,4456.833576000012
4429.333560000011,4479.044688000013,4454.189124000011
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4479.044688000013,4452.144684000013
4425.2446800000125,4475.800232000012,4450.522456000012
4425.2446800000125,4475.800232000012,4450.522456000012
4425.2446800000125,4472.2446720000125,4448.744676000013
4425.2446800000125,4472.2446720000125,4448.744676000013
4425.2446800000125,4472.2446720000125,4448.744676000013
4425.2446800000125,4472.2446720000125,4448.744676000013
4425.2446800000125,4472.2446720000125,4448.744676000013
4425.2446800000125,4472.2446720000125,4448.744676000013
4425.2446800000125,4472.2446720000125,4448.744676000013
4425.2446800000125,4472.2446720000125,4448.744676000013
4425.2446800000125,4472.2446720000125,4448.744676000013
4425.2446800000125,4472.2446720000125,4448.744676000013
4425.2446800000125,4472.2446720000125,4448.744676000013
4425.2446800000125,4472.2446720000125,4448.744676000013
4425.2446800000125,4472.2446720000125,4448.744676000013
4425.2446800000125,4472.2446720000125,4448.744676000013
4425.2446800000125,4472.2446720000125,4448.744676000013
4425.2446800000125,4472.044680000013,4448.644680000012
4425.2446800000125,4472.044680000013,4448.644680000012
4425.2446800000125,4472.044680000013,4448.644680000012
4425.2446800000125,4472.044680000013,4448.644680000012
4425.2446800000125,4472.044680000013,4448.644680000012
4424.933576000012,4472.044680000013,4448.489128000012
4424.933576000012,4472.044680000013,4448.489128000012
4424.933576000012,4472.044680000013,4448.489128000012
4424.933576000012,4472.044680000013,4448.489128000012
4424.933576000012,4472.044680000013,4448.489128000012
4424.933576000012,4472.044680000013,4448.489128000012
4424.933576000012,4472.044680000013,4448.489128000012
4424.933576000012,4472.044680000013,4448.489128000012
4424.933576000012,4457.6002320000125,4441.266904000013
4424.933576000012,4457.6002320000125,4441.266904000013
4424.933576000012,4456.778000000013,4440.855788000013
4424.933576000012,4456.778000000013,4440.855788000013
4424.933576000012,4456.778000000013,4440.855788000013
4424.933576000012,4456.778000000013,4440.855788000013
4424.933576000012,4456.778000000013,4440.855788000013
4424.933576000012,4456.778000000013,4440.855788000013
4424.933576000012,4456.778000000013,4440.855788000013
